         32470 function calls (31681 primitive calls) in 7.789 seconds

   Ordered by: internal time
   List reduced from 928 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    7.743    1.936    7.743    1.936 {method 'acquire' of '_thread.lock' objects}
6562/6398    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
       12    0.002    0.000    0.002    0.000 /home/robert/Desktop/cdle-assignment/benchmark/.venv/lib/python3.10/site-packages/pyarrow/compute.py:463(take)
       35    0.001    0.000    0.002    0.000 {built-in method _pickle.dumps}
       16    0.001    0.000    0.001    0.000 /home/robert/Desktop/cdle-assignment/benchmark/.venv/lib/python3.10/site-packages/pandas/core/indexes/range.py:201(_simple_new)
       12    0.001    0.000    0.001    0.000 /home/robert/Desktop/cdle-assignment/benchmark/.venv/lib/python3.10/site-packages/pandas/core/arrays/arrow/array.py:836(isna)
      110    0.001    0.000    0.002    0.000 /home/robert/Desktop/cdle-assignment/benchmark/.venv/lib/python3.10/site-packages/pandas/core/arrays/string_arrow.py:129(__init__)
        6    0.001    0.000    0.001    0.000 {method 'take' of 'numpy.ndarray' objects}
       12    0.001    0.000    0.001    0.000 /home/robert/Desktop/cdle-assignment/benchmark/.venv/lib/python3.10/site-packages/pyarrow/compute.py:254(wrapper)
      955    0.001    0.000    0.001    0.000 /home/robert/Desktop/cdle-assignment/benchmark/.venv/lib/python3.10/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
      107    0.001    0.000    0.001    0.000 /home/robert/Desktop/cdle-assignment/benchmark/.venv/lib/python3.10/site-packages/pandas/core/generic.py:6236(__finalize__)
       12    0.001    0.000    0.003    0.000 /home/robert/Desktop/cdle-assignment/benchmark/.venv/lib/python3.10/site-packages/pandas/core/arrays/arrow/array.py:1358(to_numpy)
  260/248    0.001    0.000    0.001    0.000 /home/robert/Desktop/cdle-assignment/benchmark/.venv/lib/python3.10/site-packages/pandas/core/generic.py:6301(__setattr__)
1597/1161    0.001    0.000    0.001    0.000 {built-in method builtins.len}
       54    0.001    0.000    0.005    0.000 /home/robert/Desktop/cdle-assignment/benchmark/.venv/lib/python3.10/site-packages/pandas/core/indexing.py:1032(_getitem_lowerdim)
       54    0.000    0.000    0.001    0.000 /home/robert/Desktop/cdle-assignment/benchmark/.venv/lib/python3.10/site-packages/pandas/core/internals/managers.py:1012(iget)
       58    0.000    0.000    0.008    0.000 /home/robert/Desktop/cdle-assignment/benchmark/.venv/lib/python3.10/site-packages/pandas/core/indexing.py:1176(__getitem__)
    21/17    0.000    0.000    0.009    0.001 /home/robert/Desktop/cdle-assignment/benchmark/.venv/lib/python3.10/site-packages/pandas/core/series.py:389(__init__)
      128    0.000    0.000    0.001    0.000 /home/robert/Desktop/cdle-assignment/benchmark/.venv/lib/python3.10/site-packages/pandas/core/generic.py:278(__init__)
       94    0.000    0.000    0.001    0.000 /home/robert/Desktop/cdle-assignment/benchmark/.venv/lib/python3.10/site-packages/pandas/core/indexes/base.py:5437(_can_hold_identifiers_and_holds_name)


